number,value,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_Accuracy,user_attrs_RMSE,user_attrs_max_depth,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators
0,0.01241694033923496,18,7,7,90,0.8151425762045231,0.01241694033923496,18,7,7,90
68,0.012438835082323584,15,6,2,282,0.8200589970501475,0.012438835082323584,15,6,2,282
9,0.012469475605548909,13,7,12,152,0.8102261553588987,0.012469475605548909,13,7,12,152
73,0.01253111476667543,17,8,2,203,0.8033431661750245,0.01253111476667543,17,8,2,203
19,0.012551331669450282,9,5,9,452,0.7984267453294002,0.012551331669450282,9,5,9,452
35,0.012564366622446152,12,8,3,371,0.80039331366765,0.012564366622446152,12,8,3,371
27,0.012672516382655676,20,9,3,422,0.7964601769911505,0.012672516382655676,20,9,3,422
40,0.013171627091696605,8,1,5,404,0.5486725663716814,0.013171627091696605,8,1,5,404
6,0.013227089119532482,8,2,15,148,0.5535889872173058,0.013227089119532482,8,2,15,148
5,0.01457281879292414,7,2,15,331,0.3480825958702065,0.01457281879292414,7,2,15,331
2,0.014615786203421488,7,7,5,398,0.34906588003933137,0.014615786203421488,7,7,5,398
8,0.014709702843523702,7,10,10,289,0.34906588003933137,0.014709702843523702,7,10,10,289
45,0.016617972737216217,6,2,2,476,0.08849557522123894,0.016617972737216217,6,2,2,476
20,0.01977217335844633,5,2,13,236,0.0009832841691248771,0.01977217335844633,5,2,13,236
16,0.02800111067286218,3,10,2,210,0.0019665683382497543,0.02800111067286218,3,10,2,210
3,0.02801128246262496,3,7,6,274,0.0019665683382497543,0.02801128246262496,3,7,6,274
